Jogador,Data do Jogo,Adversário,Vitória/Derrota,Casa/Fora,Pontos,Rebotes,Assistências,Placar do Jogo,Tentativas de 3 PTS,Cestas de 3 PTS,Tempo de Permanência do Jogador em Quadra,Minutos
Trae Young,2025-02-05T00:00:00,SAS,L,Home,1.5908535677885136,-1.1756504083560264,1.1199806883910075,OFFLINE,1.557438107714774,0.8982332102390305,42:56,1.5404760320955988
Trae Young,2025-02-03T00:00:00,DET,W,Away,1.8079779392452138,-1.6394882022445953,0.549010141368141,OFFLINE,0.8527967364749112,1.4791800626324332,34:56,0.48745909189923387
Trae Young,2025-02-01T00:00:00,IND,L,Away,1.8079779392452138,-0.943731511411742,2.071598266762452,OFFLINE,2.4969599360345915,2.060126915025836,36:56,0.750713326948325
Trae Young,2025-01-30T00:00:00,CLE,L,Away,-0.25470358959343664,-1.4075693053003109,0.7393336570424298,OFFLINE,0.8527967364749112,0.3172863578456277,31:51,0.08160881286521887
Trae Young,2025-01-28T00:00:00,HOU,L,Home,0.39666952477666345,-0.943731511411742,0.549010141368141,OFFLINE,1.0876771935548655,0.3172863578456277,34:26,0.42164553313696107
Trae Young,2025-01-25T00:00:00,TOR,L,Home,-0.14614140386508662,-0.7118126144674576,-0.40260743700330326,OFFLINE,-0.08672509184490611,-0.26366049454777507,38:09,0.9108596532698559
Trae Young,2025-01-23T00:00:00,TOR,L,Home,0.07098296759161342,-1.4075693053003109,1.3103042040652964,OFFLINE,0.8527967364749112,0.3172863578456277,39:11,1.0468743413785526
Trae Young,2025-01-22T00:00:00,DET,L,Home,-0.4718279610501367,-1.1756504083560264,0.549010141368141,OFFLINE,-0.08672509184490611,-0.26366049454777507,40:07,1.1697263177347959
Trae Young,2025-01-20T00:00:00,NYK,L,Away,1.0480426391467637,-0.943731511411742,-0.02196040565472556,OFFLINE,1.7923185647947284,2.641073767419239,35:21,0.5423037242011285
Trae Young,2025-01-18T00:00:00,BOS,W,Away,1.1566048248751135,-0.7118126144674576,0.9296571727167188,OFFLINE,1.3225576506348198,0.8982332102390305,38:51,1.0029986355370382
Trae Young,2025-01-14T00:00:00,PHX,W,Home,2.785037610800364,-0.943731511411742,-0.2122839213290144,OFFLINE,1.7923185647947284,2.641073767419239,38:07,0.9064720826857046
Trae Young,2025-01-09T00:00:00,PHX,L,Away,0.39666952477666345,-1.1756504083560264,0.1683631100195633,OFFLINE,-0.08672509184490611,-0.26366049454777507,33:50,0.34266926262223446
Trae Young,2025-01-07T00:00:00,UTA,W,Away,0.7223560819617135,-1.1756504083560264,2.6425688137853185,OFFLINE,1.3225576506348198,0.8982332102390305,36:34,0.7024500505226593
Trae Young,2025-01-04T00:00:00,LAC,L,Away,0.2881073390483134,-0.7118126144674576,1.5006277197395852,OFFLINE,1.0876771935548655,1.4791800626324332,33:50,0.34266926262223446
Trae Young,2025-01-03T00:00:00,LAL,L,Away,1.6994157535168637,-1.6394882022445953,0.549010141368141,OFFLINE,1.0876771935548655,0.8982332102390305,35:57,0.621279994715856
Trae Young,2025-01-01T00:00:00,DEN,L,Away,1.3737291963318137,-0.7118126144674576,0.549010141368141,OFFLINE,1.3225576506348198,1.4791800626324332,30:16,-0.12680078988197865
Trae Young,2024-12-29T00:00:00,TOR,W,Away,1.8079779392452138,-1.1756504083560264,0.7393336570424298,OFFLINE,2.027199021874683,3.2220206198126413,32:24,0.15400372750371857
Trae Young,2024-12-28T00:00:00,MIA,W,Home,-0.6889523325068367,-1.4075693053003109,1.690951235413874,OFFLINE,1.0876771935548655,0.3172863578456277,36:51,0.7397444004879469
Trae Young,2024-12-26T00:00:00,CHI,W,Home,1.0480426391467637,-1.1756504083560264,1.3103042040652964,OFFLINE,1.557438107714774,1.4791800626324332,38:44,0.9876421384925077
Trae Young,2024-12-23T00:00:00,MIN,W,Home,1.2651670106034636,-1.1756504083560264,0.1683631100195633,OFFLINE,0.6179162793949569,1.4791800626324332,31:18,0.009213898226718698
Trae Young,2024-12-19T00:00:00,SAS,L,Away,0.6137938962333636,-1.6394882022445953,1.881274751088163,OFFLINE,0.3830358223150025,0.8982332102390305,36:39,0.7134189769830375
Trae Young,2024-12-14T00:00:00,MIL,L,Away,1.9165401249735639,-0.01605592363460425,0.7393336570424298,OFFLINE,0.14815536523504821,0.8982332102390305,39:35,1.0995251883883717
